Date,Open,High,Low,Close,Adj Close,Volume,Name
2017-02-15,54.66999816894531,55.02000045776367,54.36000061035156,54.4900016784668,37.06367874145508,1822900,OKE
2017-02-16,54.75,55.09000015258789,53.939998626708984,54.029998779296875,36.75078582763672,1918100,OKE
2017-02-17,53.83000183105469,53.970001220703125,53.31999969482422,53.63999938964844,36.48550796508789,1889400,OKE
2017-02-21,54.06999969482422,54.41999816894531,53.59000015258789,54.220001220703125,36.880027770996094,2163100,OKE
2017-02-22,53.7599983215332,54.09000015258789,53.459999084472656,53.52000045776367,36.40388488769531,2063200,OKE
2017-02-23,54.40999984741211,54.939998626708984,53.77000045776367,54.63999938964844,37.16569900512695,2931500,OKE
2017-02-24,54.43000030517578,54.540000915527344,52.79999923706055,53.15999984741211,36.159019470214844,2479800,OKE
2017-02-27,53.27000045776367,53.599998474121094,52.709999084472656,53.349998474121094,36.28824996948242,3491500,OKE
2017-02-28,53.619998931884766,55.52000045776367,53.25,54.04999923706055,36.76438903808594,6183800,OKE
2017-03-01,54.43000030517578,55.81999969482422,54.349998474121094,55.38999938964844,37.67585372924805,2965400,OKE
2017-03-02,55.08000183105469,55.5099983215332,54.70000076293945,55.25,37.58061981201172,3650700,OKE
2017-03-03,55.25,56.65999984741211,55.060001373291016,56.41999816894531,38.37644577026367,3046000,OKE
2017-03-06,56.18000030517578,56.7599983215332,55.83000183105469,56.61000061035156,38.50567626953125,3468700,OKE
2017-03-07,56.83000183105469,56.95000076293945,56.22999954223633,56.58000183105469,38.48527526855469,3327700,OKE
2017-03-08,56.599998474121094,56.7599983215332,54.709999084472656,54.77000045776367,37.254127502441406,2386500,OKE
2017-03-09,54.619998931884766,54.63999938964844,53.38999938964844,54.5099983215332,37.0772705078125,3147100,OKE
2017-03-10,55.0,55.060001373291016,54.09000015258789,54.33000183105469,36.9548454284668,2285800,OKE
2017-03-13,54.25,54.470001220703125,53.75,53.97999954223633,36.71677780151367,3041000,OKE
2017-03-14,53.5,53.5,51.9900016784668,52.20000076293945,35.50603485107422,3880100,OKE
2017-03-15,52.75,53.869998931884766,52.5099983215332,53.63999938964844,36.48550796508789,4193800,OKE
2017-03-16,53.869998931884766,54.06999969482422,52.709999084472656,53.2400016784668,36.21343994140625,2475700,OKE
2017-03-17,53.470001220703125,53.63999938964844,52.47999954223633,52.81999969482422,35.92774963378906,8199000,OKE
2017-03-20,52.459999084472656,53.349998474121094,52.209999084472656,53.2400016784668,36.21343994140625,2467100,OKE
2017-03-21,53.470001220703125,53.630001068115234,52.029998779296875,52.279998779296875,35.56044387817383,2089400,OKE
2017-03-22,52.22999954223633,52.869998931884766,51.959999084472656,52.70000076293945,35.846126556396484,2181000,OKE
2017-03-23,52.54999923706055,52.779998779296875,52.119998931884766,52.25,35.5400390625,2051800,OKE
2017-03-24,52.38999938964844,53.52000045776367,52.369998931884766,53.099998474121094,36.118202209472656,2821600,OKE
2017-03-27,52.529998779296875,53.25,52.220001220703125,53.09000015258789,36.11140441894531,2186500,OKE
2017-03-28,53.310001373291016,53.61000061035156,52.880001068115234,53.060001373291016,36.09100341796875,1681500,OKE
2017-03-29,53.040000915527344,54.939998626708984,52.9900016784668,54.72999954223633,37.226924896240234,2670000,OKE
2017-03-30,54.970001220703125,55.06999969482422,54.2400016784668,54.91999816894531,37.35615158081055,3402000,OKE
2017-03-31,54.52000045776367,56.0,54.52000045776367,55.439998626708984,37.7098503112793,3421200,OKE
